약품명,업체명,규격,전문일반구분,특수관리약품구분,ATC코드,품목기준코드,운전위험등급,매칭성분,약물분류
네버펜틴캡슐300밀리그램(가바펜틴)(비매품),대웅바이오(주),300밀리그램,전문의약품,해당사항없음,N02BF01,200400481.0,운전위험,가바펜틴,항전간제
네오메디코푸정,(주)보령,17.5밀리그램,전문의약품,한외마약포함,R05,197700537.0,운전위험,한외마약포함,한외마약포함
네오콜드에이엠피엠연질캡슐,(주)알피바이오,200밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
네오쿨파프카타플라스마,(주)티디에스팜,12그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
네오펜틴캡슐(가바펜틴),국제약품(주),300밀리그램,전문의약품,해당사항없음,N02BF01,200500386.0,운전위험,가바펜틴,항전간제
네오펜틴캡슐100밀리그람(가바펜틴),국제약품(주),100밀리그램,전문의약품,해당사항없음,N02BF01,200500389.0,운전위험,가바펜틴,항전간제
넥리카캡슐150mg(프레가발린),(주)넥스팜코리아,150밀리그램,전문의약품,해당사항없음,N02BF02,201603622.0,운전위험,프레가발린,항전간제
넥리카캡슐25밀리그램(프레가발린),(주)넥스팜코리아,25밀리그램,전문의약품,해당사항없음,N02BF02,202004145.0,운전위험,프레가발린,항전간제
넥리카캡슐50밀리그램(프레가발린),(주)넥스팜코리아,50밀리그램,전문의약품,해당사항없음,N02BF02,202004146.0,운전위험,프레가발린,항전간제
넥리카캡슐75mg(프레가발린),(주)넥스팜코리아,75밀리그램,전문의약품,해당사항없음,N02BF02,201603623.0,운전위험,프레가발린,항전간제
넥스쿨정,(주)넥스팜코리아,400밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
