약품명,업체명,규격,전문일반구분,특수관리약품구분,ATC코드,품목기준코드,운전위험등급,매칭성분,약물분류
뉴큅정0.25밀리그램(로피니롤염산염),(주)유한양행,0.25밀리그램,전문의약품,해당사항없음,N04BC04,200904641.0,운전위험,로피니롤,파킨슨병치료제
뉴큅정1밀리그램(로피니롤염산염),(주)유한양행,1밀리그램,전문의약품,해당사항없음,N04BC04,200904640.0,운전위험,로피니롤,파킨슨병치료제
뉴큅정2밀리그램(로피니롤염산염),(주)유한양행,2밀리그램,전문의약품,해당사항없음,N04BC04,200803810.0,운전위험,로피니롤,파킨슨병치료제
뉴페닌캡슐(가바펜틴),케이엠에스제약(주),300밀리그램,전문의약품,해당사항없음,N02BF01,200604328.0,운전위험,가바펜틴,항전간제
뉴페리손정(에페리손염산염),신풍제약(주),50밀리그램,전문의약품,해당사항없음,M03BX09,201310963.0,운전위험,에페리손,근육이완제
뉴펜틴캡슐100밀리그램(가바펜틴),(주)화이트생명과학,100밀리그램,전문의약품,해당사항없음,N02BF01,201600780.0,운전위험,가바펜틴,항전간제
뉴펜틴캡슐300mg(가바펜틴),(주)화이트생명과학,300밀리그램,전문의약품,해당사항없음,N02BF01,201402891.0,운전위험,가바펜틴,항전간제
뉴프로패취1mg/24h(로티고틴),한국유씨비제약(주),2.25밀리그램,전문의약품,해당사항없음,N04BC09,201006375.0,운전위험,로티고틴,파킨슨병치료제
뉴프로패취2mg/24h(로티고틴),한국유씨비제약(주),4.5밀리그램,전문의약품,해당사항없음,N04BC09,201006376.0,운전위험,로티고틴,파킨슨병치료제
뉴프로패취3mg/24h(로티고틴),한국유씨비제약(주),6.75밀리그램,전문의약품,해당사항없음,N04BC09,201006377.0,운전위험,로티고틴,파킨슨병치료제
뉴프로패취4mg/24h(로티고틴),한국유씨비제약(주),9밀리그램,전문의약품,해당사항없음,N04BC09,201006378.0,운전위험,로티고틴,파킨슨병치료제
뉴프로패취4mg/24h(로티고틴),한국희귀필수의약품센터,4밀리그램,,해당사항없음,,800003019.0,운전위험,로티고틴,파킨슨병치료제
뉴프로패취6mg/24h(로티고틴),한국유씨비제약(주),13.5밀리그램,전문의약품,해당사항없음,N04BC09,201006373.0,운전위험,로티고틴,파킨슨병치료제
뉴프로패취8mg/24h(로티고틴),한국유씨비제약(주),18밀리그램,전문의약품,해당사항없음,N04BC09,201006374.0,운전위험,로티고틴,파킨슨병치료제
뉴프로패치8mg/24h(로티고틴),한국희귀필수의약품센터,8밀리그램,,해당사항없음,,800003019.0,운전위험,로티고틴,파킨슨병치료제
뉴화콜골드엔피캡슐(수출명:MedicophedCapsule),제이더블유중외제약(주),10밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
뉴화콜클래식골드캡슐,제이더블유중외제약(주),200밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
니코레트껌2밀리그람(니코틴)(쿨민트향),한국존슨앤드존슨판매(유),2밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
니코레트껌2밀리그람(니코틴)쿨민트향,한국존슨앤드존슨판매(유),2밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
니코레트껌4밀리그람(니코틴)(과일향민트향후레쉬민트향후룻민트향쿨민트향),한국존슨앤드존슨판매(유),4밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
니코레트껌4밀리그람(니코틴)쿨민트향,한국존슨앤드존슨판매(유),4밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
